bit_length,sample_index,p,a,b,P,Q,k_true,k_found,time_s,success
16,0,16823,11278,5837,"(5, 1571)","(2435, 14766)",10763,14572,7.009506225585938e-05,False
16,1,16823,11278,5837,"(5, 1571)","(2864, 13404)",7673,10192,0.00044155120849609375,False
16,2,16823,11278,5837,"(5, 1571)","(10250, 3749)",534,4583,0.0002627372741699219,False
16,3,16823,11278,5837,"(5, 1571)","(7376, 10965)",4014,2317,0.00023627281188964844,False
16,4,16823,11278,5837,"(5, 1571)","(8836, 14102)",15468,2692,0.0003266334533691406,False
20,0,506131,196836,257664,"(1, 31855)","(104748, 237201)",179615,342747,0.0034942626953125,False
20,1,506131,196836,257664,"(1, 31855)","(127106, 177096)",339351,186261,0.0022706985473632812,False
20,2,506131,196836,257664,"(1, 31855)","(207541, 113833)",349153,59566,0.001935720443725586,False
20,3,506131,196836,257664,"(1, 31855)","(294620, 207688)",355254,12343,0.0003714561462402344,False
20,4,506131,196836,257664,"(1, 31855)","(462588, 471819)",468795,260826,0.0019030570983886719,False
24,0,3181051,2959143,1348687,"(5, 401307)","(1177711, 919183)",3084251,1995517,0.006440401077270508,False
24,1,3181051,2959143,1348687,"(5, 401307)","(2856871, 378230)",310028,1881568,0.0020732879638671875,False
24,2,3181051,2959143,1348687,"(5, 401307)","(459315, 3008404)",192093,422544,0.010981321334838867,False
24,3,3181051,2959143,1348687,"(5, 401307)","(2818943, 1428273)",394124,2917561,0.006540536880493164,False
24,4,3181051,2959143,1348687,"(5, 401307)","(1631879, 157007)",494831,489392,0.007485866546630859,False
28,0,21884041,2612788,21014032,"(2, 2994771)","(19274602, 480550)",8190409,957471,0.03251528739929199,False
28,1,21884041,2612788,21014032,"(2, 2994771)","(1724952, 16636003)",14452507,6802155,0.04684591293334961,False
28,2,21884041,2612788,21014032,"(2, 2994771)","(12987668, 128195)",7725813,5973142,0.037506103515625,False
28,3,21884041,2612788,21014032,"(2, 2994771)","(18757238, 7776741)",15930351,9298464,0.04990816116333008,False
28,4,21884041,2612788,21014032,"(2, 2994771)","(2442599, 14842809)",19779295,6042986,0.06783032417297363,False
32,0,307706071,204909754,22401022,"(1, 144636765)","(234243530, 51053802)",278322630,281555845,0.06912899017333984,False
32,1,307706071,204909754,22401022,"(1, 144636765)","(140683185, 71198488)",100607706,282235113,0.07193279266357422,False
32,2,307706071,204909754,22401022,"(1, 144636765)","(158136516, 265314733)",303103497,214607299,0.05991959571838379,False
32,3,307706071,204909754,22401022,"(1, 144636765)","(11556104, 63189330)",137552949,194925548,0.054260969161987305,False
32,4,307706071,204909754,22401022,"(1, 144636765)","(154599070, 197176015)",287314291,140439012,0.06513524055480957,False
